package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
grid,4.5.1,4.5.1,C:/PROGRA~1/R/R-45~1.1/library/grid,C:/Program Files/R/R-4.5.1/library/grid,FALSE,TRUE,2025-06-13,local,NA,C:/Program Files/R/R-4.5.1/library
gridExtra,2.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/gridExtra,NA,FALSE,FALSE,2017-09-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
gtable,0.3.6,0.3.6,C:/Users/echang/AppData/Local/R/win-library/4.5/gtable,C:/Users/echang/AppData/Local/R/win-library/4.5/gtable,FALSE,FALSE,2024-10-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
gtools,3.9.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/gtools,NA,FALSE,FALSE,2023-11-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
haven,2.5.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/haven,NA,FALSE,FALSE,2025-05-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
here,1.0.2,1.0.2,C:/Users/echang/AppData/Local/R/win-library/4.5/here,C:/Users/echang/AppData/Local/R/win-library/4.5/here,FALSE,FALSE,2025-09-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
highr,0.11,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/highr,NA,FALSE,FALSE,2024-05-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
Hmisc,5.2-4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/Hmisc,NA,FALSE,FALSE,2025-10-05,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
hms,1.1.4,1.1.4,C:/Users/echang/AppData/Local/R/win-library/4.5/hms,C:/Users/echang/AppData/Local/R/win-library/4.5/hms,FALSE,FALSE,2025-10-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
htmlTable,2.4.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/htmlTable,NA,FALSE,FALSE,2024-07-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
htmltools,0.5.9,0.5.9,C:/Users/echang/AppData/Local/R/win-library/4.5/htmltools,C:/Users/echang/AppData/Local/R/win-library/4.5/htmltools,FALSE,FALSE,2025-12-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
htmlwidgets,1.6.4,1.6.4,C:/Users/echang/AppData/Local/R/win-library/4.5/htmlwidgets,C:/Users/echang/AppData/Local/R/win-library/4.5/htmlwidgets,FALSE,FALSE,2023-12-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
httpcode,0.3.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/httpcode,NA,FALSE,FALSE,2020-04-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
httpuv,1.6.16,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/httpuv,NA,FALSE,FALSE,2025-04-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
httr,1.4.7,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/httr,NA,FALSE,FALSE,2023-08-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
httr2,1.2.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/httr2,NA,FALSE,FALSE,2025-12-08,CRAN (R 4.5.1),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
