package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
profvis,0.4.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/profvis,NA,FALSE,FALSE,2024-09-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
progress,1.2.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/progress,NA,FALSE,FALSE,2023-12-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
promises,1.5.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/promises,NA,FALSE,FALSE,2025-11-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
proxy,0.4-27,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/proxy,NA,FALSE,FALSE,2022-06-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
ps,1.9.1,1.9.1,C:/Users/echang/AppData/Local/R/win-library/4.5/ps,C:/Users/echang/AppData/Local/R/win-library/4.5/ps,FALSE,FALSE,2025-04-12,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
purrr,1.2.0,1.2.0,C:/Users/echang/AppData/Local/R/win-library/4.5/purrr,C:/Users/echang/AppData/Local/R/win-library/4.5/purrr,FALSE,FALSE,2025-11-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
quadprog,1.5-8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/quadprog,NA,FALSE,FALSE,2019-11-20,CRAN (R 4.5.0),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
quantmod,0.4.28,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/quantmod,NA,FALSE,FALSE,2025-06-19,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
quantreg,6.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/quantreg,NA,FALSE,FALSE,2025-03-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
QuickJSR,1.8.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/QuickJSR,NA,FALSE,FALSE,2025-09-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
R.methodsS3,1.8.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/R.methodsS3,NA,FALSE,FALSE,2022-06-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
