id,name_type,name,name_bi
Cacomantis variolosus,syn_name,Cuculus variolosus,Cuculus variolosus
Cairina moschata,syn_name,Anas moschata,Anas moschata
Calamanthus campestris,syn_name,Praticola campestris,Praticola campestris
Calamanthus fuliginosus,syn_name,Anthus fuliginosus,Anthus fuliginosus
Calidris acuminata,syn_name,Calidris cooperi,Calidris cooperi
Calidris acuminata,syn_name,Totanus acuminatus,Totanus acuminatus
Calidris falcinellus,syn_name,Limicola falcinellus,Limicola falcinellus
Calidris ferruginea,syn_name,Calidris cooperi,Calidris cooperi
Calidris melanotos,syn_name,Tringa melanotos,Tringa melanotos
Calidris minuta,syn_name,Tringa minuta,Tringa minuta
Calidris pugnax,syn_name,Philomachus pugnax,Philomachus pugnax
Calidris pugnax,syn_name,Tringa pugnax,Tringa pugnax
Calidris ruficollis,syn_name,Trynga ruficollis,Trynga ruficollis
Calidris subminuta,syn_name,Tringa subminuta,Tringa subminuta
Calidris subruficollis,syn_name,Tryngites subruficollis,Tryngites subruficollis
Calidris subruficollis,syn_name,Tringa subruficollis,Tringa subruficollis
Calidris tenuirostris,syn_name,Totanus tenuirostris,Totanus tenuirostris
Caligavis chrysops,syn_name,Lichenostomus chrysops,Lichenostomus chrysops
Caligavis chrysops,syn_name,Meliphaga chrysops,Meliphaga chrysops
Callipepla californica,syn_name,Lophortyx californica,Lophortyx californica
Callocephalon fimbriatum,syn_name,Psittacus fimbriatus,Psittacus fimbriatus
Calyptorhynchus banksii,syn_name,Calyptorhynchus magnificus,Calyptorhynchus magnificus
Calyptorhynchus lathami,syn_name,Psittacus lathami,Psittacus lathami
Chalcites basalis,syn_name,Chrysococcyx basalis,Chrysococcyx basalis
Chalcites basalis,syn_name,Cuculus basalis,Cuculus basalis
Chalcites lucidus,syn_name,Chrysococcyx lucidus,Chrysococcyx lucidus
Chalcites lucidus,syn_name,Cuculus lucidus,Cuculus lucidus
Chalcites osculans,syn_name,Chrysococcyx osculans,Chrysococcyx osculans
Chalcites osculans,syn_name,Misocalius osculans,Misocalius osculans
Charadrius mongolus,syn_name,Charadrius mongolus stegmanni,Charadrius mongolus
Charadrius mongolus,syn_name,Charadrius mongolus mongolus,Charadrius mongolus
Charadrius veredus,syn_name,Eupoda veredus,Eupoda veredus
Chenonetta jubata,syn_name,Anas jubata,Anas jubata
Cheramoeca leucosterna,syn_name,Cheramoeca leucosternus,Cheramoeca leucosternus
Chlidonias hybrida,syn_name,Chlidonias hybridus,Chlidonias hybridus
Chlidonias leucopterus,syn_name,Chilidonias leucopterus,Chilidonias leucopterus
Chlidonias leucopterus,syn_name,Sterna leucoptera,Sterna leucoptera
Cincloramphus cruralis,acc_name,Megalurus cruralis,Megalurus cruralis
Cincloramphus cruralis,syn_name,Cincloramphus cruralis,Cincloramphus cruralis
Cincloramphus mathewsi,acc_name,Megalurus mathewsi,Megalurus mathewsi
Cincloramphus mathewsi,syn_name,Cincloramphus mathewsi,Cincloramphus mathewsi
Cinclosoma castanotum,syn_name,Cinclosoma castanotus,Cinclosoma castanotus
Cinclosoma castanotum,syn_name,Cinclosoma castanotum castanotum,Cinclosoma castanotum
Cinclosoma punctatum,syn_name,Turdus punctatus,Turdus punctatus
Circus approximans,syn_name,Circus gouldi,Circus gouldi
Circus approximans,syn_name,Circus approximans approximans,Circus approximans
Circus approximans,syn_name,Circus approximans gouldi,Circus approximans
Cladorhynchus leucocephalus,syn_name,Recurvirostra leucocephala,Recurvirostra leucocephala
Climacteris rufus,syn_name,Climacteris rufa,Climacteris rufa
Conopophila whitei,syn_name,Lacustroica whitei,Lacustroica whitei
Corcorax melanorhamphos,acc_name,Corcorax melanoramphos,Corcorax melanoramphos
Corcorax melanorhamphos,syn_name,Corcorax melanorhamphos,Corcorax melanorhamphos
Cormobates leucophaea,syn_name,Cormobates leucophaeus,Cormobates leucophaeus
Cormobates leucophaea,syn_name,Certhia leucophaea,Certhia leucophaea
Coturnix ypsilophora,acc_name,Synoicus ypsilophorus ypsilophorus,Synoicus ypsilophorus
Coturnix ypsilophora,syn_name,Coturnix ypsilophora,Coturnix ypsilophora
Coturnix ypsilophora,syn_name,Coturnix ypsilophora ypsilophora,Coturnix ypsilophora
Cracticus torquatus,syn_name,Cracticus argenteus,Cracticus argenteus
Cygnus atratus,syn_name,Cygnus atractus,Cygnus atractus
Cygnus atratus,syn_name,Anas atrata,Anas atrata
Cygnus olor,syn_name,Anas olor,Anas olor
