id,name_type,name,name_bi
Rostratula australis,syn_name,Rhynchaea australis,Rhynchaea australis
Sericornis frontalis,syn_name,Acanthiza frontalis,Acanthiza frontalis
Smicrornis brevirostris,syn_name,Psilopus brevirostris,Psilopus brevirostris
Spatula rhynchotis,syn_name,Anas rhynchotis,Anas rhynchotis
Spatula rhynchotis,syn_name,Anas rhynchotis rhynchotis,Anas rhynchotis
Spatula rhynchotis,syn_name,Anas rhynchotis variegata,Anas rhynchotis
Spatula rhynchotis,syn_name,Spatula variegata,Spatula variegata
Spatula rhynchotis,syn_name,Spatula rhynchotis rhynchotis,Spatula rhynchotis
Spatula rhynchotis,syn_name,Spatula rhynchotis variegata,Spatula rhynchotis
Stercorarius antarcticus,syn_name,Catharacta skua antarctica,Catharacta skua
Stercorarius antarcticus,syn_name,Catharacta antarctica,Catharacta antarctica
Stercorarius maccormicki,syn_name,Catharacta maccormicki,Catharacta maccormicki
Stercorarius pomarinus,syn_name,Lestris pomarinus,Lestris pomarinus
Sterna striata,syn_name,Sterna striata aucklandorna,Sterna striata
Sterna striata,syn_name,Sterna striata incerta,Sterna striata
Sterna striata,syn_name,Sterna striata striata,Sterna striata
Sterna striata,syn_name,Sterna striata aucklandorum,Sterna striata
Sternula nereis,syn_name,Sterna nereis,Sterna nereis
Stictonetta naevosa,syn_name,Anas naevosa,Anas naevosa
Stiltia isabella,syn_name,Glareola isabella,Glareola isabella
Stipiturus malachurus,syn_name,Muscicapa malachura,Muscicapa malachura
Sugomel niger,syn_name,Certhionyx niger,Certhionyx niger
Sugomel niger,syn_name,Myzomela nigra,Myzomela nigra
Sugomel niger,syn_name,Sugomel nigrum,Sugomel nigrum
Tadorna tadornoides,syn_name,Anas tadornoides,Anas tadornoides
Thalassarche bulleri,syn_name,Diomedea bulleri,Diomedea bulleri
Thalassarche carteri,syn_name,Thalassogeron carteri,Thalassogeron carteri
Thalassarche carteri,syn_name,Thalassarche chlororhynchos carteri,Thalassarche chlororhynchos
Thalassarche cauta,syn_name,Diomedea cauta,Diomedea cauta
Thalassarche cauta,syn_name,Diomedea cauta cauta,Diomedea cauta
Thalassarche chrysostoma,syn_name,Diomedea chrysostoma,Diomedea chrysostoma
Thalassarche impavida,syn_name,Thalassarche melanophris impavida,Thalassarche melanophris
Thalassarche melanophris,syn_name,Diomedea melanophris,Diomedea melanophris
Thalassarche melanophris,syn_name,Thalassarche melanophrys,Thalassarche melanophrys
Thalassarche melanophris,syn_name,Thalassarche melanophris melanophris,Thalassarche melanophris
Thalassarche salvini,syn_name,Thalassarche cauta salvini,Thalassarche cauta
Thalassarche salvini,syn_name,Thalassogeron salvini,Thalassogeron salvini
Thalassarche steadi,acc_name,Thalassarche cauta steadi,Thalassarche cauta
Thalassarche steadi,syn_name,Thalassarche steadi,Thalassarche steadi
Thalassoica antarctica,syn_name,Procellaria antarctica,Procellaria antarctica
Thinornis cucullatus,syn_name,Charadrius cucullatus,Charadrius cucullatus
Threskiornis spinicollis,syn_name,Ibis spinicollis,Ibis spinicollis
Todiramphus pyrrhopygius,syn_name,Todirhamphus pyrrhopygia,Todirhamphus pyrrhopygia
Todiramphus pyrrhopygius,syn_name,Halcyon pyrrhopygia,Halcyon pyrrhopygia
Todiramphus sanctus,syn_name,Halcyon sancta,Halcyon sancta
Todiramphus sanctus,syn_name,Todirhamphus sanctus,Todirhamphus sanctus
Tribonyx mortierii,syn_name,Gallinula mortierii,Gallinula mortierii
Tribonyx ventralis,syn_name,Gallinula ventralis,Gallinula ventralis
Trichoglossus haematodus,syn_name,Trichoglossus haematodus brooki,Trichoglossus haematodus
Tringa brevipes,syn_name,Heteroscelus brevipes,Heteroscelus brevipes
Tringa brevipes,syn_name,Totanus brevipes,Totanus brevipes
Tringa nebularia,syn_name,Scolopax nebularia,Scolopax nebularia
Tringa stagnatilis,syn_name,Totanus stagnatilis,Totanus stagnatilis
Turnix pyrrhothorax,syn_name,Hemipodius pyrrhothorax,Hemipodius pyrrhothorax
Turnix varius,syn_name,Turnix varia,Turnix varia
Turnix velox,syn_name,Hemipodius velox,Hemipodius velox
Tyto javanica,syn_name,Strix javanica,Strix javanica
Tyto longimembris,syn_name,Strix longimembris,Strix longimembris
Tyto novaehollandiae,syn_name,Strix novaehollandiae,Strix novaehollandiae
Vanellus tricolor,syn_name,Charadrius tricolor,Charadrius tricolor
Xenus cinereus,syn_name,Tringa cinereus,Tringa cinereus
Xenus cinereus,syn_name,Tringa cinerea,Tringa cinerea
Xenus cinereus,syn_name,Scolopax cinerea,Scolopax cinerea
Zanda funerea,syn_name,Calyptorhynchus funereus,Calyptorhynchus funereus
Zanda funerea,syn_name,Psittacus funereus,Psittacus funereus
Zapornia pusilla,syn_name,Porzana pusilla,Porzana pusilla
Zapornia pusilla,syn_name,Rallus pusillus,Rallus pusillus
Zapornia tabuensis,syn_name,Porzana tabuensis,Porzana tabuensis
Zapornia tabuensis,syn_name,Porzana tabuensis edwardi,Porzana tabuensis
Zapornia tabuensis,syn_name,Porzana tabuensis richardsoni,Porzana tabuensis
Zapornia tabuensis,syn_name,Porzana tabuensis tabuensis,Porzana tabuensis
Zapornia tabuensis,syn_name,Rallus tabuensis,Rallus tabuensis
Zapornia tabuensis,syn_name,Zapornia tabuensis edwardi,Zapornia tabuensis
Zapornia tabuensis,syn_name,Zapornia tabuensis plumbea,Zapornia tabuensis
Zapornia tabuensis,syn_name,Zapornia tabuensis richardsoni,Zapornia tabuensis
Zapornia tabuensis,syn_name,Zapornia tabuensis tabuensis,Zapornia tabuensis
Amytornis whitei,manual,Amytornis striatus whitei,Amytornis striatus
Petroica boodang,manual,Petroica multicolor boodang,Petroica multicolor
Ardea plumifera,syn_name,Egretta intermedia plumifera,Egretta intermedia
Ardea plumifera,syn_name,Herodias plumiferus,Herodias plumiferus
Ardea plumifera,syn_name,Ardea intermedia plumifera,Ardea intermedia
Corcorax melanorhamphos,syn_name,Corcorax melanoramphos,Corcorax melanoramphos
Corcorax melanorhamphos,syn_name,Coracia melanorhamphos,Coracia melanorhamphos
Myiagra cyanoleuca,syn_name,Platyrhynchos cyanoleucus,Platyrhynchos cyanoleucus
Myiagra inquieta,syn_name,Turdus inquietus,Turdus inquietus
Zoothera lunulata,syn_name,Turdus lunulata,Turdus lunulata
