IOC.15.1,English.Name,Latin.Name,NestType_BU,NestType_CP,NestType_CR,NestType_CV,NestType_DM,NestType_HC,NestType_NO,NestType_O,NestType_PL,NestType_PN,NestType_SA,NestType_SC,NestType_SP,NestType_M,NestSBS_A,NestSBS_B,NestSBS_C,NestSBS_G,NestSBS_K,NestSBS_N,NestSBS_P,NestSBS_R,NestSBS_S,NestSBS_T,NestSBS_W,NestSBS_Z
21980,Banda Fantail,Rhipidura hoedti,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21982,Kai Fantail,Rhipidura assimilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21986,Buru Fantail,Rhipidura bouruensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21988,Seram Fantail,Rhipidura cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21990,Obi Fantail,Rhipidura obiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,Northern Fantail,Rhipidura isura,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22003,Biak Fantail,Rhipidura kordensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22005,White-winged Fantail,Rhipidura cockerelli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22012,White-gorgeted Fantail,Rhipidura coultasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22014,Sooty Thicket-fantail,Rhipidura threnothorax,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22017,Black Thicket-fantail,Rhipidura maculipectus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22018,White-bellied Thicket-fantail,Rhipidura leucothorax,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22022,Black Fantail,Rhipidura atra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22025,Chestnut-bellied Fantail,Rhipidura hyperythra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22029,Friendly Fantail,Rhipidura albolimbata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22032,Grey Fantail,Rhipidura albiscapa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22041,New Zealand Fantail,Rhipidura fuliginosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22046,Mangrove Fantail,Rhipidura phasiana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22048,Bougainville Fantail,Rhipidura drownei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22050,Guadalcanal Fantail,Rhipidura ocularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22052,Dusky Fantail,Rhipidura tenebrosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22053,Rennell Fantail,Rhipidura rennelliana,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22054,New Caledonia Streaked Fantail,Rhipidura verreauxi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22056,Vanuatu Streaked Fantail,Rhipidura spilodera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22058,Fiji Streaked Fantail,Rhipidura layardi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
