Col_Name,Var_Name,Description
,,"Note: If a species conducts intra-specific parasitism, a 1 is used in both columns since the parasite species parasitizes itself…"
"BrS1, BrS2",Lower and upper limits of breeding success (% nests fledging young),
"Prod 1, Prod2",Yearly productivity per pair (# young raised to fledging),
VOLANCY,,
,Flightlessness,
,Yes,doesn't fly
,No,flies
,Partial,"either is not known to fly, likely didn't fly, certain ages do not fly, or certain subspecies do not fly. One example, White-throated Rail, had a flightless subspecies"
,,"Note that while we didn't record this, some migratory birds like alcids (i.e. Dovekie) will temporarily be flightless while motling"
MOVEMENT,1 means species undertakes that type of movement,
,Mig,"Migration. Yearly, regular, seasonal (larger scale), and/or long-distance movement. 2 indicates partial migrant. Some authorities may treat dispersive movements as migration, but we treat that as less-structured movements (hence irregular) unless the dispersive movements are of juveniles"
,Alt,"Altitudinal/elevational migration. Regular movements from high to low altitudes or vice versa based on seasons or post-breeding dispersal. Includes notable altitudinal movements on a daily basis for foraging (i.e. Barred Parakeet, Tepui Parrotlet)"
,Irreg,"Nomadic, erratic, irruptive, wandering (incl. seasonal wandering/movements), and other irregular movements based on irregular weather patterns, including floods, droughts, etc., or due to fluctuations in food availability. Also when some individuals in a species disperse locally seasonally but not others; unstructured or unclear/poorly known seasonal movements; short-distance dispersive movements. Vagrancy does not equal irregular movements. Inter-island movements included in irregular"
,Disp,"Long-distance dispersal. Usually once in a lifetime, after leaving nest (i.e. post-breeding or post-fledging dispersal). NOTE: ""Dispersive"" movements do not equal long-distance dispersal. ""some local dispersal"" does not count. ""Dispersal"" needs to be clear that it is longer-distance."
,Sed,"Sedentary, largely does not migrate. Typically a resident species, potentially with some local/seasonal movements (not as detailed as irregular seasonal movements; i.e., ""performs local movements"". ""Resident"", if nothing else really noted."
